# molecule_id train_data train_predict(50/50) train_predict
0 1.0 1 0.5921688
1 0.0 0 0.36925092
2 1.0 1 0.5362919
3 1.0 0 0.25977924
4 1.0 1 0.73504466
5 1.0 1 0.68039453
6 1.0 0 0.44359618
7 1.0 0 0.48695165
8 1.0 0 0.40559253
9 1.0 0 0.33666992
10 1.0 1 0.6939911
11 0.0 0 0.3794121
12 1.0 0 0.399699
13 1.0 1 0.5078712
14 0.0 0 0.16485506
15 1.0 1 0.62163717
16 1.0 1 0.8015909
17 1.0 1 0.8156755
18 1.0 0 0.43925846
19 0.0 0 0.17313851
20 1.0 0 0.33817935
21 1.0 0 0.37364095
22 1.0 0 0.32577807
23 0.0 0 0.4938223
24 1.0 1 0.5047477
25 1.0 1 0.7497405
26 1.0 1 0.6660204
27 1.0 1 0.5876989
28 1.0 0 0.29855078
29 0.0 0 0.10643549
30 1.0 1 0.6759166
31 1.0 0 0.4557153
32 1.0 1 0.6506715
33 1.0 1 0.56420714
34 1.0 1 0.72336847
35 1.0 1 0.5780418
36 1.0 0 0.46359253
37 1.0 1 0.6256161
38 0.0 0 0.40139738
39 1.0 0 0.2887954
40 1.0 1 0.8729673
41 1.0 1 0.65079665
42 1.0 0 0.4722465
43 1.0 0 0.408659
44 1.0 1 0.6075045
45 1.0 1 0.6245431
46 1.0 1 0.6476276
47 0.0 0 0.09410533
48 0.0 0 0.09027557
49 1.0 1 0.7013964
50 0.0 0 0.34192485
51 0.0 0 0.4735588
52 1.0 1 0.5580851
53 1.0 1 0.6002701
54 1.0 1 0.74084526
55 1.0 1 0.6062953
56 1.0 1 0.64845866
57 1.0 1 0.5783499
58 1.0 1 0.6245431
59 0.0 0 0.15775399
60 0.0 0 0.080004565
61 1.0 0 0.415135
62 0.0 0 0.1975803
63 1.0 1 0.51175594
64 0.0 1 0.6462739
65 1.0 1 0.6635381
66 1.0 1 0.5557645
67 0.0 0 0.16044283
68 1.0 0 0.28326684
69 1.0 1 0.5290048
70 1.0 1 0.710659
71 1.0 0 0.4471106
72 1.0 1 0.6384165
73 1.0 0 0.1636855
74 1.0 0 0.42084563
75 0.0 0 0.06910287
76 0.0 1 0.6446532
