ID,SMILE,BBB
ZINC00020225,c1cc(c2c3c1C[C@@H]4[C@@]5([C@]3(CC[NH+]4CC6CC6)[C@@H](O2)C(=O)CC5)O)O,1
ZINC00020229,CC[NH+]1CCC[C@@H]1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,1
ZINC00020233,Cc1cc(nnc1NCC[NH+]2CCOCC2)c3ccccc3,1
ZINC00020240,CC(C)[NH2+]C[C@H](COc1cccc2c1cccc2)O,1
ZINC00020244,C[NH+](C)CCOC(c1ccccc1)c2ccccc2,1
ZINC00020251,Cc1ccc(cc1)N(CC2=[NH+]CCN2)c3cccc(c3)O,1
ZINC00020252,C[C@H](Cc1ccc(cc1)O)[NH2+]C[C@H](c2cc(cc(c2)O)O)O,1
ZINC00020253,c1ccc2c(c1)C(=O)N[C@]2(c3ccc(c(c3)S(=O)(=O)N)Cl)O,1
ZINC00020542,c1ccc(cc1)CC(=O)NCCc2c[nH]c3c2cccc3,1
ZINC00020647,COc1ccc(cc1OC2CCCC2)C3(CCC(=O)CC3)C#N,1
ZINC00020781,CC[C@](c1cccc(c1)OC)([C@H](C)C[NH+](C)C)O,1
